POI名称,所在区县,详细地址,经度,纬度,POI类型,分析类别
乡村小居(汤山店),江宁区,汤山街道汤泉西路122号(汤山西站往东80米),119.054032,32.057798,餐饮服务;中餐厅;中餐厅,餐饮
古都张姐虾汤(鱼汤)面,浦口区,凯莱花园东南门西60米,118.631991,32.064673,餐饮服务;中餐厅;中餐厅,餐饮
徽娘子女性熏蒸艾灸生活馆(河西万达店),建邺区,燕山路81-8号,118.734206,32.030614,餐饮服务;餐饮相关场所;餐饮相关,餐饮
鼎业开元大酒店地中海西餐厅(文德东路店),浦口区,江浦街道文德东路35号鼎业开元大酒店2楼,118.631203,32.06083,餐饮服务;外国餐厅;西餐厅(综合风味),餐饮
龙袍人家(老店),六合区,龙袍镇龙江路1号,118.953226,32.197092,餐饮服务;中餐厅;中餐厅,餐饮
江苏酒家,鼓楼区,建宁路255-1号(近大桥饭店),118.753781,32.092853,餐饮服务;中餐厅;综合酒楼|餐饮服务;中餐厅;江苏菜,餐饮
拾玖阁,鼓楼区,定淮门10号,118.748338,32.068038,餐饮服务;中餐厅;中餐厅,餐饮
紫金楼,玄武区,中山门大街柳营99号3幢(近农业机械研究所),118.875957,32.044585,餐饮服务;中餐厅;海鲜酒楼,餐饮
地雷面馆(江心洲店),建邺区,纬七路过江隧道以北居住及社区中心地块江州府1-06幢3室,118.710154,32.043078,餐饮服务;中餐厅;中餐厅,餐饮
颂福楼(苜蓿园),玄武区,童卫路9号美林苑11幢,118.837262,32.035726,商务住宅;住宅区;住宅小区|餐饮服务;中餐厅;中餐厅,餐饮
汤山熙园生态餐厅,江宁区,李家庄1号,119.045813,32.058563,餐饮服务;中餐厅;江苏菜,餐饮
许阿姨糕团店(长白街店),秦淮区,普华巷1号,118.799498,32.038369,餐饮服务;糕饼店;糕饼店,餐饮
盱眙於氏虾神龙虾(南京江宁旗舰店),江宁区,文靖西路181号,118.832926,31.959728,餐饮服务;中餐厅;海鲜酒楼,餐饮
小菜香,江宁区,汤山汤泉西路518号,119.049607,32.057844,餐饮服务;中餐厅;中餐厅,餐饮
睿扬农府·农家故事(南京示范店),江宁区,汤山街道汤泉西路238-2号,119.048359,32.057666,餐饮服务;中餐厅;江苏菜|餐饮服务;中餐厅;浙江菜,餐饮
牛总店·贵州黄牛肉馆(板桥红太阳总店),雨花台区,弘阳大道弘阳装饰城D2-108-114号,118.669318,31.940466,餐饮服务;中餐厅;中餐厅,餐饮
南京酒家南京菜(江浦店),浦口区,江浦街道象山路碧云山庄24-1幢101室,118.624637,32.066865,餐饮服务;中餐厅;综合酒楼,餐饮
朱氏梅花糕,鼓楼区,上海路120号之一505室(近汉口西路),118.774189,32.054636,餐饮服务;中餐厅;中餐厅,餐饮
小龙大肉面馆,秦淮区,双桥门28号(雨花门地铁站4号口步行430米),118.793812,32.006406,餐饮服务;中餐厅;中餐厅,餐饮
凤凰环球西苑饭庄(南瑞路店),鼓楼区,南瑞路9星程酒店南京三牌楼店2层,118.772415,32.079981,餐饮服务;中餐厅;中餐厅,餐饮
红豆家常菜馆,江宁区,汤泉西路170号(南京税务干部培训学校对面),119.056241,32.057675,餐饮服务;中餐厅;中餐厅,餐饮
梓贤阁精品菜馆(汤山店),江宁区,汤泉西路85号,119.059217,32.057135,餐饮服务;中餐厅;中餐厅,餐饮
阿拉丁新疆风味餐厅·清真(罗廊巷店),秦淮区,石鼓路201-223号石鼓路小区,118.771188,32.041237,餐饮服务;中餐厅;清真菜馆|餐饮服务;中餐厅;西北菜,餐饮
龙彦利陈家鸭子店(文体西路店),建邺区,水西门大街139号,118.760026,32.030758,餐饮服务;餐饮相关场所;餐饮相关,餐饮
南京中医药大学第2食堂,栖霞区,仙林大道138号中医药大学内,118.949867,32.103066,餐饮服务;中餐厅;中餐厅,餐饮
宝都龙虾家常菜馆,鼓楼区,江苏路138号,118.768573,32.066951,餐饮服务;中餐厅;海鲜酒楼|餐饮服务;中餐厅;特色/地方风味餐厅,餐饮
罗子龙罗家桂花汤圆(曹都巷小区店),秦淮区,曹都巷18号(近丰富路),118.780325,32.034083,餐饮服务;中餐厅;中餐厅,餐饮
迟慢厨房·土菜(后宰门店),玄武区,北安门街后宰门西村95号南京科技金融园,118.819876,32.0477,餐饮服务;中餐厅;浙江菜,餐饮
炉尚烤肉馆(下马坊店),玄武区,中山门大街99-3号君临紫金商业广场3栋122室,118.850541,32.037702,餐饮服务;中餐厅;中餐厅,餐饮
罗子龙罗家桂花汤圆(曹都巷小区店),秦淮区,曹都巷18号(近丰富路),118.780325,32.034083,餐饮服务;中餐厅;中餐厅,餐饮
迟慢厨房·土菜(后宰门店),玄武区,北安门街后宰门西村95号南京科技金融园,118.819876,32.0477,餐饮服务;中餐厅;浙江菜,餐饮
炉尚烤肉馆(下马坊店),玄武区,中山门大街99-3号君临紫金商业广场3栋122室,118.850541,32.037702,餐饮服务;中餐厅;中餐厅,餐饮
蜜雪儿(尧化门店),栖霞区,尧化街道尧化门尧佳路17-1,118.881334,32.118985,餐饮服务;糕饼店;糕饼店|购物服务;购物相关场所;购物相关场所,餐饮
苗氏虾神龙虾(茶南店),建邺区,福园街凤栖苑93号-7,118.745476,32.031113,餐饮服务;中餐厅;海鲜酒楼,餐饮
竹里馆茶食(欧洲城凯旋丽都花园店),建邺区,南苑街道江东中路213号中国银行旁(永隆家具对面),118.735977,32.01333,餐饮服务;茶艺馆;茶艺馆,餐饮
扬子卤菜店(丁家庄店),栖霞区,迈皋桥街道迈皋福瑞城华银路19号13幢104室,118.856716,32.116133,餐饮服务;餐饮相关场所;餐饮相关,餐饮
徐州味莊(金城丽景北区店),浦口区,金城丽景北区4-113(门面房),118.721822,32.134555,餐饮服务;中餐厅;中餐厅,餐饮
江阳渔港(兴智路店),栖霞区,兴智路6号兴智美食街,118.876179,32.138698,餐饮服务;中餐厅;中餐厅,餐饮
三百碗宝应长鱼面(板仓街109号小区店),玄武区,板仓街119号三百碗宝应长鱼面,118.824816,32.072746,餐饮服务;中餐厅;中餐厅,餐饮
孙记宁波海鲜馆,江宁区,岔路口金盛路金盛公寓1栋,118.825112,31.968741,餐饮服务;中餐厅;海鲜酒楼,餐饮
南门李记猪头肉(非遗传承店),六合区,雄州街道朝天街122号,118.834461,32.338083,餐饮服务;中餐厅;中餐厅,餐饮
黔得乐贵州特色牛肉火锅(仙鹤门店),玄武区,鹤鸣路6号仙鹤新天地广场3号楼3F层,118.90413,32.085306,餐饮服务;中餐厅;火锅店,餐饮
咸平家韩国料理(杉湖西路店),栖霞区,杉湖西路6号-9,118.919801,32.098421,餐饮服务;外国餐厅;韩国料理,餐饮
